index|id|category|city|area|market_name|market_address|shop|pay_list|zone|user|pay_tool
88|50008059|['餐飲']|新竹市|東區|['咖啡館']|新竹市東　區南門里勝利路７５號１樓|星熠咖啡坊|['街口支付', 'LINE PAY']|桃竹苗|彭羿沛|['行動支付']
89|50008060|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區潛園里西大路４２７號１樓|鈞鋒飲料店|['LINE PAY']|桃竹苗|曾偉鈞|['行動支付']
90|50008061|['餐飲']|新竹市|東區|['飲料零售', '冰果店、冷（熱）飲店']|新竹市東　區東大路四段２９３號|珈仟茶飲店|['LINE PAY']|桃竹苗|莊弘安|['行動支付']
91|50008065|['餐飲']|新竹市|香山區|['餐館、餐廳']|新竹市香山區內湖里內湖路１２６號|喬展喫茶坊|['一卡通', 'LINE PAY']|桃竹苗|戴緗祺|['電子票證', '行動支付']
92|50008066|['餐飲']|新竹市|東區|['早餐店']|新竹市東　區新興里南大路３９９號１樓|君亞商行|['LINE PAY']|桃竹苗|張竹君|['行動支付']
93|50008068|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區武陵里鐵道路二段４２５號１樓|生暉凡飲料店|['街口支付', 'LINE PAY']|桃竹苗|周愛倫|['行動支付']
94|50008069|['餐飲']|新竹市|北區|['餐館、餐廳']|新竹市北　區興南里勝利路２４５巷１４號|七樓手作烘焙|['LINE PAY']|桃竹苗|陳德新|['行動支付']
95|50008070|['餐飲']|新竹市|東區|['咖啡館']|新竹市東　區三民里民權路１１１巷２３號|微生物商行|['台灣 PAY']|桃竹苗|劉光聖|['行動支付']
96|50008071|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區關新里關新北路１０號|明辰餐飲|['街口支付']|桃竹苗|黃子明|['行動支付']
97|50008587|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區西門里中山路１３４號１樓|良品商行|['台灣 PAY', 'LINE PAY', '街口支付']|桃竹苗|林俊良|['行動支付']
98|50008590|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區關新里００６鄰關新二街１１９號１樓|侑廷商行|['台灣 PAY', 'LINE PAY']|桃竹苗|賴廷豪|['行動支付']
99|50008592|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區關新里關新東路３６６號１樓|青川商行|['一卡通', '愛金卡']|桃竹苗|謝青峰|['電子票證']
100|50008594|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區新興里南大路４８７號１樓|森億仁義式料理|['街口支付', 'LINE PAY']|桃竹苗|胡芳慈|['行動支付']
101|50008595|['餐飲']|新竹市|東區|['咖啡館']|新竹市東　區東園里中華路一段４２６號|辰甯商行|['台灣 PAY', 'LINE PAY']|桃竹苗|鄭靜龍|['行動支付']
